IIP ID,Language,Region,Material,Text_Genre,City,Religion,Time
idum0124,Aramaic,Negev,clay,legal/economic,Other,other_religion,-342.0
idum0143,Aramaic,Negev,clay,legal/economic,Other,other_religion,-311.0
idum0145,Aramaic,Negev,clay,other/unkown,Other,other_religion,-362.0
idum0142,Aramaic,Negev,clay,legal/economic,Other,other_religion,-315.0
idum0146,Aramaic,Negev,clay,other/unkown,Other,other_religion,-362.0
idum0149,Aramaic,Negev,clay,other/unkown,Other,other_religion,-359.0
idum0155,Aramaic,Negev,clay,other/unkown,Other,other_religion,-359.0
idum0153,Aramaic,Negev,clay,other/unkown,Other,other_religion,-359.0
idum0157,Aramaic,Negev,clay,other/unkown,Other,other_religion,-359.0
idum0156,Aramaic,Negev,clay,other/unkown,Other,other_religion,-359.0
idum0159,Aramaic,Negev,clay,other/unkown,Other,other_religion,-358.0
idum0152,Aramaic,Negev,clay,other/unkown,Other,other_religion,-359.0
idum0166,Aramaic,Negev,clay,other/unkown,Other,other_religion,-354.0
idum0168,Aramaic,Negev,clay,other/unkown,Other,other_religion,-353.0
idum0165,Aramaic,Negev,clay,other/unkown,Other,other_religion,-354.0
idum0160,Aramaic,Negev,clay,other/unkown,Other,other_religion,-358.0
idum0164,Aramaic,Negev,clay,other/unkown,Other,other_religion,-356.0
idum0162,Aramaic,Negev,clay,other/unkown,Other,other_religion,-356.0
idum0161,Aramaic,Negev,clay,other/unkown,Other,other_religion,-357.0
idum0169,Aramaic,Negev,clay,other/unkown,Other,other_religion,-351.0
idum0205,Aramaic,Negev,clay,legal/economic,Other,other_religion,-362.0
idum0207,Aramaic,Negev,clay,legal/economic,Other,other_religion,-345.0
idum0212,Aramaic,Negev,clay,legal/economic,Other,other_religion,-343.0
idum0216,Aramaic,Negev,clay,legal/economic,Other,other_religion,-340.0
idum0220,Aramaic,Negev,clay,legal/economic,Other,other_religion,-338.0
idum0225,Aramaic,Negev,clay,legal/economic,Other,other_religion,-352.0
idum0297,Aramaic,Negev,clay,other/unkown,Other,other_religion,-362.0
idum0227,Aramaic,Negev,clay,legal/economic,Other,other_religion,-357.0
idum0295,Aramaic,Negev,clay,other/unkown,Other,other_religion,-362.0
idum0296,Aramaic,Negev,clay,other/unkown,Other,other_religion,-362.0
idum0306,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0303,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0301,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0300,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0299,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0304,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0312,Aramaic,Negev,clay,other/unkown,Other,other_religion,-359.0
idum0310,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0309a,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0307,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0309b,Aramaic,Negev,clay,other/unkown,Other,other_religion,-361.0
idum0315,Aramaic,Negev,clay,other/unkown,Other,other_religion,-359.0
idum0317,Aramaic,Negev,clay,other/unkown,Other,other_religion,-346.0
idum0316,Aramaic,Negev,clay,other/unkown,Other,other_religion,-355.0
idum0332,Aramaic,Negev,clay,other/unkown,Other,other_religion,-352.0
idum0328,Aramaic,Negev,clay,other/unkown,Other,other_religion,-353.0
idum0333,Aramaic,Negev,clay,other/unkown,Other,other_religion,-352.0
idum0327,Aramaic,Negev,clay,other/unkown,Other,other_religion,-354.0
idum0334,Aramaic,Negev,clay,other/unkown,Other,other_religion,-352.0
idum0375,Aramaic,Negev,clay,legal/economic,Other,other_religion,-357.0
idum0376,Aramaic,Negev,clay,legal/economic,Other,other_religion,-357.0
idum0341,Aramaic,Negev,clay,legal/economic,Other,other_religion,-365.0
idum0335,Aramaic,Negev,clay,other/unkown,Other,other_religion,-352.0
idum0336,Aramaic,Negev,clay,other/unkown,Other,other_religion,-349.0
idum0420,Aramaic,Negev,clay,other/unkown,Other,other_religion,-356.0
idum0422,Aramaic,Negev,clay,other/unkown,Other,other_religion,-353.0
idum0424,Aramaic,Negev,clay,other/unkown,Other,other_religion,-341.0
idum0425,Aramaic,Negev,clay,other/unkown,Other,other_religion,-315.0
idum0436,Aramaic,Negev,clay,other/unkown,Other,other_religion,-356.0
idum0435,Aramaic,Negev,clay,other/unkown,Other,other_religion,-358.0
idum0438,Aramaic,Negev,clay,other/unkown,Other,other_religion,-344.0
idum0437,Aramaic,Negev,clay,other/unkown,Other,other_religion,-354.0
idum0449,Aramaic,Negev,clay,other/unkown,Other,other_religion,-356.0
idum0447,Aramaic,Negev,clay,other/unkown,Other,other_religion,-362.0
idum0448,Aramaic,Negev,clay,other/unkown,Other,other_religion,-357.0
idum0452,Aramaic,Negev,clay,other/unkown,Other,other_religion,-353.0
idum0455,Aramaic,Negev,clay,other/unkown,Other,other_religion,-315.0
idum0454,Aramaic,Negev,clay,other/unkown,Other,other_religion,-344.0
idum0450,Aramaic,Negev,clay,other/unkown,Other,other_religion,-356.0
idum0461,Aramaic,Negev,clay,legal/economic,Other,jewish,-356.0
idum0464,Aramaic,Negev,clay,legal/economic,Other,jewish,-355.0
idum0460,Aramaic,Negev,clay,legal/economic,Other,jewish,-358.0
idum0465,Aramaic,Negev,clay,legal/economic,Other,jewish,-355.0
idum0466,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0477,Aramaic,Negev,clay,legal/economic,Other,jewish,-316.0
idum0473,Aramaic,Negev,clay,legal/economic,Other,jewish,-362.0
idum0474,Aramaic,Negev,clay,legal/economic,Other,jewish,-356.0
idum0480,Aramaic,Negev,clay,other/unkown,Other,other_religion,-352.0
idum0479,Aramaic,Negev,clay,other/unkown,Other,other_religion,-353.0
